2024-06-21T18:41:35 - Node: 06
2024-06-21T18:41:35 - Network Mode: MULTI_HOP
2024-06-21T18:41:35 - Sleep duration: 1680 ms
2024-06-21T18:41:36 - RTX: 01 msg: 8495
2024-06-21T18:41:37 - RTX: 01 msg: 3227
2024-06-21T18:41:39 - RTX: 01 msg: 3618
2024-06-21T18:41:41 - RTX: 01 msg: 5844
2024-06-21T18:41:42 - RTX: 01 msg: 0375
2024-06-21T18:41:44 - RTX: 01 msg: 5572
2024-06-21T18:41:46 - RTX: 01 msg: 2482
2024-06-21T18:41:48 - RTX: 01 msg: 8144
2024-06-21T18:41:49 - RTX: 01 msg: 5360
2024-06-21T18:41:51 - RTX: 01 msg: 2821
2024-06-21T18:41:53 - RTX: 01 msg: 3851
2024-06-21T18:41:54 - RTX: 01 msg: 5971
2024-06-21T18:41:56 - RTX: 01 msg: 3395
2024-06-21T18:41:58 - RTX: 01 msg: 7552
2024-06-21T18:41:59 - RTX: 01 msg: 8368
2024-06-21T18:42:01 - RTX: 01 msg: 5987
2024-06-21T18:42:03 - RTX: 01 msg: 5929
2024-06-21T18:42:04 - RTX: 01 msg: 2190
2024-06-21T18:42:06 - RTX: 01 msg: 2005
2024-06-21T18:42:08 - RTX: 01 msg: 7561
2024-06-21T18:42:09 - RTX: 01 msg: 0572
2024-06-21T18:42:11 - RTX: 01 msg: 1520
2024-06-21T18:42:13 - RTX: 01 msg: 2601
2024-06-21T18:42:14 - RTX: 01 msg: 2170
2024-06-21T18:42:16 - RTX: 01 msg: 3249
2024-06-21T18:42:18 - RTX: 01 msg: 1791
2024-06-21T18:42:19 - RTX: 01 msg: 4017
2024-06-21T18:42:21 - RTX: 01 msg: 3682
2024-06-21T18:42:23 - RTX: 01 msg: 7329
2024-06-21T18:42:25 - RTX: 01 msg: 9350
2024-06-21T18:42:26 - RTX: 01 msg: 6145
2024-06-21T18:42:28 - RTX: 01 msg: 4825
2024-06-21T18:42:30 - RTX: 01 msg: 7426
2024-06-21T18:42:31 - RTX: 01 msg: 9703
2024-06-21T18:42:33 - RTX: 01 msg: 6535
2024-06-21T18:42:35 - RTX: 01 msg: 6136
2024-06-21T18:42:36 - RTX: 01 msg: 6806
2024-06-21T18:42:38 - RTX: 01 msg: 9718
2024-06-21T18:42:40 - RTX: 01 msg: 9966
2024-06-21T18:42:41 - RTX: 01 msg: 2059
2024-06-21T18:42:43 - RTX: 01 msg: 2217
2024-06-21T18:42:45 - RTX: 01 msg: 8050
2024-06-21T18:42:46 - RTX: 01 msg: 8102
2024-06-21T18:42:48 - RTX: 01 msg: 1736
2024-06-21T18:42:50 - RTX: 01 msg: 7402
2024-06-21T18:42:51 - RTX: 01 msg: 7085
2024-06-21T18:42:53 - RTX: 01 msg: 6803
2024-06-21T18:42:55 - RTX: 01 msg: 8617
2024-06-21T18:42:56 - RTX: 01 msg: 4344
2024-06-21T18:42:58 - RTX: 01 msg: 8940
2024-06-21T18:43:00 - RTX: 01 msg: 5593
2024-06-21T18:43:01 - RTX: 01 msg: 4745
2024-06-21T18:43:03 - RTX: 01 msg: 8485
2024-06-21T18:43:05 - RTX: 01 msg: 1995
2024-06-21T18:43:07 - RTX: 01 msg: 0097
2024-06-21T18:43:08 - RTX: 01 msg: 8590
2024-06-21T18:43:10 - RTX: 01 msg: 2326
2024-06-21T18:43:12 - RTX: 01 msg: 9235
2024-06-21T18:43:13 - RTX: 01 msg: 4301
2024-06-21T18:43:15 - RTX: 01 msg: 2903
2024-06-21T18:43:17 - RTX: 01 msg: 5569
2024-06-21T18:43:18 - RTX: 01 msg: 2967
2024-06-21T18:43:20 - RTX: 01 msg: 2588
2024-06-21T18:43:22 - RTX: 01 msg: 0103
2024-06-21T18:43:23 - RTX: 01 msg: 6750
2024-06-21T18:43:25 - RTX: 01 msg: 5473
2024-06-21T18:43:27 - RTX: 01 msg: 6581
2024-06-21T18:43:28 - RTX: 01 msg: 2357
2024-06-21T18:43:30 - RTX: 01 msg: 2760
2024-06-21T18:43:32 - RTX: 01 msg: 6717
2024-06-21T18:43:33 - RTX: 01 msg: 5973
2024-06-21T18:43:35 - RTX: 01 msg: 2941
2024-06-21T18:43:37 - RTX: 01 msg: 9120
2024-06-21T18:43:38 - RTX: 01 msg: 3630
2024-06-21T18:43:40 - RTX: 01 msg: 0085
