Timestamp,Source,Address,TotalSent,TotalRecv,AvgLatency
1744823513,8,7,3,2,19
1744823519,7,8,2,4,8
0,7,15,0,3,5
1744823517,15,7,3,0,0
1744823544,15,7,3,0,0
1744823547,7,8,1,2,5
0,7,15,0,4,3
1744823546,8,7,3,1,4
1744823573,15,7,4,0,0
1744823582,7,8,1,4,6
0,7,15,1,4,6
1744823577,8,7,4,0,0
1744823602,15,7,3,1,6
1744823608,7,8,1,3,3
0,7,15,1,3,4
1744823606,8,7,4,2,6
1744823631,15,7,4,1,5
1744823641,7,8,1,3,4
0,7,15,0,4,4
1744823644,8,7,3,0,0
1744823666,15,7,3,0,0
1744823669,7,8,0,3,4
0,7,15,0,3,4
1744823678,8,7,4,2,6
1744823694,15,7,4,1,5
1744823701,7,8,3,4,9
0,7,15,2,4,5
1744823708,8,7,4,2,6
1744823725,15,7,3,2,3
1744823728,7,8,2,3,4
0,7,15,1,3,4
1744823744,8,7,3,2,2
