Timestamp,Source,Address,TotalSent,TotalRecv,NumHops,AvgLatency,TotalBeaconsSent,TotalBeaconsRecv
1742577141,20,7,1,0,0,0,15,7
0,20,27,0,1,1,12,0,10
1742577142,14,15,1,0,0,0,16,9
1742577141,20,7,1,0,0,0,15,7
0,20,27,0,1,1,12,0,10
1742577141,20,7,1,0,0,0,15,7
0,20,27,0,1,1,12,0,10
1742577141,20,7,1,0,0,0,15,7
0,20,27,0,1,1,12,0,10
1742577163,14,7,1,0,0,0,1,8
1742577141,20,7,1,0,0,0,15,7
0,20,27,0,1,1,12,0,10
1742577161,27,15,2,1,1,17,1,11
1742577141,27,20,1,0,0,0,16,7
1742577181,15,27,1,0,0,0,0,0
1742577161,15,7,0,1,1,12,1,8
0,15,20,1,0,0,0,0,6
0,15,27,1,0,0,0,0,14
1742577142,7,15,1,0,0,0,16,7
0,7,20,0,1,2,11,0,8
1742577197,14,15,1,0,0,0,1,1
1742577181,27,14,1,0,0,0,0,12
1742577141,15,14,1,0,0,0,15,10
1742577182,7,20,0,1,2,49,1,0
0,7,27,1,0,0,0,0,11
1742577161,20,7,1,0,0,0,0,0
0,20,15,1,0,0,0,0,11
1742577223,14,7,1,0,0,0,0,2
0,14,27,0,1,3,49,0,12
1742577202,7,27,1,0,0,0,0,0
1742577221,20,14,1,0,0,0,1,11
0,20,15,1,1,3,60,0,1
1742577257,14,15,1,1,2,67,2,2
0,14,20,0,1,1,39,0,14
1742577221,15,20,2,0,0,0,0,1
1742577181,20,7,1,0,0,0,1,0
1742577241,20,14,1,0,0,0,0,0
1742577261,27,14,1,0,0,0,1,2
1742577241,15,14,1,0,0,0,1,0
0,15,20,0,1,2,94,0,1
1742577261,15,20,1,0,0,0,0,0
1742577289,14,15,1,0,0,0,1,1
1742577222,7,14,1,0,0,0,1,9
0,7,15,1,0,0,0,0,1
1742577221,27,7,0,1,1,42,1,11
0,27,15,1,1,3,43,0,2
0,27,20,1,0,0,0,0,1
1742577281,27,14,1,0,0,0,0,0
0,27,15,1,0,0,0,0,1
1742577301,20,14,1,0,0,0,1,1
0,20,15,0,1,1,45,0,1
1742577313,14,20,1,1,1,16,0,1
1742577301,27,20,1,0,0,0,1,1
1742577338,14,27,1,0,0,0,1,3
1742577242,7,20,1,1,1,74,1,2
