Timestamp,Source,Address,TotalSent,TotalRecv,NumHops,AvgLatency,TotalBeaconsSent,TotalBeaconsRecv,Path
1744821765,27,14,1,0,0,0,14,13,
1744821765,14,15,0,1,3,13,15,13,15-27-20-14
0,14,27,1,1,1,12,0,11,27-14
1744821765,15,14,1,0,0,0,16,13,
1744821764,20,27,1,0,0,0,15,12,
1744821785,27,14,1,0,0,0,1,1,
0,27,20,1,1,3,29,0,11,15-27
1744821787,14,15,0,1,2,14,1,1,15-27-14
0,14,20,1,0,0,0,0,12,
1744821805,15,27,1,0,0,0,0,0,
1744821813,14,20,1,0,0,0,1,0,
0,14,27,0,1,3,25,0,1,27-20-15-14
1744821825,15,27,1,0,0,0,1,1,
1744821805,27,15,1,0,0,0,0,13,
1744821785,15,14,1,0,0,0,1,1,
0,15,20,0,1,3,13,0,11,20-14-27-15
0,15,27,1,0,0,0,0,13,
1744821784,20,15,1,0,0,0,1,13,
0,20,27,1,1,1,17,0,1,27-20
1744821839,14,20,0,1,2,42,0,1,20-27-14
1744821804,20,14,1,0,0,0,0,12,
1744821866,14,15,1,0,0,0,1,1,
1744821845,27,14,1,0,0,0,0,1,
0,27,15,0,1,3,60,0,1,15-20-14-27
0,27,20,1,0,0,0,0,1,
1744821825,27,15,0,1,1,20,1,0,15-27
0,27,20,1,1,1,37,0,0,20-27
1744821844,20,14,1,0,0,0,0,1,
0,20,15,1,0,0,0,0,2,
1744821824,20,27,1,0,0,0,1,0,
1744821845,15,14,1,0,0,0,0,1,
0,15,20,1,1,1,10,0,1,20-15
0,15,27,0,1,2,40,0,0,27-14-15
1744821889,14,15,1,1,2,33,0,2,27-14
0,14,20,0,1,2,32,0,1,20-15-14
0,14,27,0,2,2,23,0,2,ÞÿgtÞÿgG-14
1744821885,15,14,1,0,0,0,1,1,
1744821885,27,14,1,0,0,0,1,1,
0,27,15,0,1,3,58,0,2,15-20-14-27
0,27,20,0,1,2,58,0,1,20-14-27
1744821864,20,27,1,0,0,0,1,1,
1744821904,20,27,2,1,2,65,1,0,27-15-20
1744821912,14,20,0,1,2,32,1,1,20-27-14
0,14,27,1,0,0,0,0,0,
1744821905,15,20,2,0,0,0,0,2,
1744821884,20,14,1,0,0,0,0,0,
1744821925,15,20,1,0,0,0,1,0,
1744821925,27,20,1,1,3,59,1,1,20-15-14-27
1744821933,14,15,1,0,0,0,1,1,
1744821924,20,15,1,0,0,0,1,1,
1744821945,27,14,1,0,0,0,1,1,
0,27,20,0,2,2,44,0,1,20-15-27
1744821944,20,15,1,0,0,0,0,0,
1744821964,20,15,1,0,0,0,1,0,
0,20,27,1,0,0,0,0,0,
1744821972,14,15,0,1,1,13,1,1,15-14
0,14,20,1,0,0,0,0,1,
0,14,27,0,1,1,2,0,2,27-14
1744821965,27,14,1,0,0,0,0,1,
0,27,15,0,1,1,0,0,2,15-27
0,27,20,1,1,2,16,0,0,20-27
