Timestamp,Source,Address,TotalSent,TotalRecv,AvgLatency
1744821109,20,14,3,3,4
0,20,15,5,4,3
0,20,27,3,4,4
1744821129,14,15,4,7,5
0,14,20,4,4,5
0,14,27,5,4,4
1744821108,27,14,3,3,4
0,27,15,3,5,3
0,27,20,5,3,4
1744821155,14,15,0,4,9
0,14,20,1,3,7
0,14,27,0,1,24
1744821108,15,14,5,3,4
0,15,20,4,5,5
0,15,27,5,3,5
1744821187,14,15,1,2,12
0,14,20,2,2,14
0,14,27,1,3,9
1744821128,15,14,4,0,0
0,15,20,2,2,8
0,15,27,2,0,0
1744821225,14,15,2,4,22
0,14,27,1,2,8
1744821129,20,14,3,0,0
0,20,15,3,1,5
0,20,27,2,1,4
1744821128,27,14,2,1,3
0,27,15,3,0,0
0,27,20,1,1,7
1744821168,27,14,3,0,0
0,27,15,0,1,20
1744821278,14,15,1,7,11
0,14,20,2,6,17
0,14,27,1,5,21
1744821148,27,14,0,1,21
0,27,15,0,2,21
0,27,20,2,2,18
1744821149,20,14,2,1,9
0,20,15,1,1,12
0,20,27,1,0,0
1744821168,15,14,3,0,0
0,15,20,2,0,0
0,15,27,1,2,35
1744821148,15,14,2,1,12
0,15,20,0,2,7
0,15,27,1,1,30
1744821337,14,15,2,9,12
0,14,20,4,4,12
0,14,27,3,5,7
1744821169,20,14,1,1,3
0,20,15,2,0,0
0,20,27,1,2,17
1744821188,27,14,1,1,13
0,27,15,3,1,20
0,27,20,2,1,19
1744821366,14,15,1,3,23
0,14,20,2,1,11
0,14,27,1,3,11
1744821208,27,14,2,0,0
0,27,20,2,2,10
1744821188,15,14,1,1,13
0,15,20,1,0,0
0,15,27,0,1,3
1744821208,15,14,3,0,0
0,15,20,1,2,40
0,15,27,0,1,26
1744821410,14,15,1,6,8
0,14,20,1,2,13
0,14,27,1,4,6
1744821209,20,15,2,1,35
0,20,27,0,2,23
1744821228,27,14,2,1,23
0,27,15,1,1,5
0,27,20,1,1,10
1744821441,14,15,1,4,12
0,14,20,1,4,9
0,14,27,1,3,18
1744821189,20,14,1,2,27
0,20,15,1,1,28
0,20,27,2,1,30
