Timestamp,Source,Address,TotalSent,TotalRecv,NumHops,AvgLatency,TotalBeaconsSent,TotalBeaconsRecv,Path
1743783947,20,27,1,1,2,11,3,4,27-14-20
1743783958,14,20,1,0,0,0,4,3,
1743783948,27,20,1,1,2,4,4,3,20-14-27
1743783967,20,27,2,0,0,0,0,0,
1743783993,14,27,1,2,2,27,1,5,27-20-14
1743783968,27,14,2,0,0,0,1,4,
0,27,20,0,1,1,19,0,0,20-27
1743783987,20,14,1,0,0,0,1,5,
1743784016,14,20,0,1,1,33,1,2,20-14
0,14,27,1,1,1,34,0,1,27-14
1743783988,27,14,1,0,0,0,0,1,
0,27,20,0,1,1,17,0,1,20-27
1743784007,20,14,1,0,0,0,1,1,
1743784041,14,20,1,1,1,42,1,0,20-14
1743784008,27,20,1,0,0,0,1,1,
1743784028,27,14,1,0,0,0,0,1,
0,27,20,1,0,0,0,0,0,
1743784090,14,20,2,1,2,69,1,2,20-27-14
0,14,27,0,1,1,50,0,2,27-14
1743784027,20,14,1,0,0,0,0,0,
0,20,27,1,0,0,0,0,2,
1743784047,20,27,1,0,0,0,1,0,
1743784048,27,20,1,0,0,0,1,1,
1743784114,14,20,1,0,0,0,1,0,
1743784067,20,27,1,1,1,54,0,1,27-20
1743784068,27,20,1,0,0,0,0,0,
1743784150,14,20,1,0,0,0,1,1,
1743784087,20,14,1,0,0,0,1,2,
0,20,27,1,1,2,61,0,1,27-14-20
1743784107,20,14,1,0,0,0,0,0,
0,20,27,0,1,1,67,0,0,27-20
1743784183,14,20,1,2,2,95,1,1,20-27-14
1743784088,27,14,1,0,0,0,1,2,
0,27,20,1,1,1,56,0,1,20-27
1743784127,20,14,1,0,0,0,1,1,
