Timestamp,Source,Address,TotalSent,TotalRecv,NumHops,AvgLatency,TotalParentChanges,TotalBeaconsSent,TotalBeaconsRecv,Path
1743783169,27,14,1,0,0,0,2,17,14,
1743783178,14,20,0,1,1,4,0,15,15,20-14
0,14,27,0,1,2,7,0,0,13,27-20-14
1743783171,20,14,1,0,0,0,1,15,12,
1743783189,27,14,2,0,0,0,2,1,1,
1743783199,14,20,0,2,1,6,0,1,1,20-14
0,14,27,0,2,2,7,0,0,1,27-20-14
1743783191,20,14,2,0,0,0,1,1,1,
1743783209,27,14,1,0,0,0,2,0,0,
1743783211,20,14,1,0,0,0,1,0,0,
1743783229,27,14,1,0,0,0,2,1,1,
1743783237,14,20,0,2,1,6,0,1,1,20-14
0,14,27,0,2,2,7,0,0,1,20-14
1743783231,20,14,1,0,0,0,1,1,1,
1743783251,20,14,2,0,0,0,1,1,1,
1743783249,27,14,2,0,0,0,2,1,0,
1743783267,14,20,0,2,1,6,0,1,1,20-14
0,14,27,0,2,2,7,0,0,1,27-20-14
1743783269,27,14,1,0,0,0,2,0,0,
1743783271,20,14,1,0,0,0,1,0,0,
1743783291,20,14,1,0,0,0,1,1,1,
1743783295,14,20,0,2,1,6,0,1,1,20-14
0,14,27,0,2,2,15,0,0,1,27-20-14
1743783289,27,14,1,0,0,0,2,1,1,
1743783309,27,14,2,0,0,0,2,0,1,
1743783316,14,20,0,2,1,4,0,1,1,20-14
0,14,27,0,2,2,6,0,0,1,27-20-14
1743783311,20,14,2,0,0,0,1,1,1,
1743783329,27,14,1,0,0,0,2,1,0,
1743783340,14,20,0,1,1,2,0,1,0,20-14
0,14,27,0,1,2,3,0,0,0,20-14
1743783331,20,14,1,0,0,0,1,0,0,
1743783349,27,14,1,0,0,0,2,1,1,
1743783351,20,14,1,0,0,0,1,1,1,
1743783369,27,14,2,0,0,0,2,0,1,
1743783372,14,20,0,3,1,4,0,1,2,20-14
0,14,27,0,3,2,11,0,0,1,27-20-14
1743783371,20,14,2,0,0,0,1,1,1,
1743783389,27,14,1,0,0,0,2,1,0,
1743783399,14,20,0,1,1,7,0,1,0,20-14
0,14,27,0,1,2,7,0,0,1,27-20-14
1743783391,20,14,1,0,0,0,1,0,0,
1743783409,27,14,1,0,0,0,2,1,1,
