Timestamp,Source,Address,TotalSent,TotalRecv,NumHops,AvgLatency,TotalParentChanges,TotalBeaconsSent,TotalBeaconsRecv,Path
1745593003,15,14,1,0,0,0,1,17,11,
1745593005,14,15,0,1,1,4,0,16,12,15-14
1745593003,27,14,1,0,0,0,2,17,11,
1745593003,20,14,1,0,0,0,1,16,12,
1745593033,15,14,5,0,0,0,1,1,1,
1745593036,14,15,0,5,1,12,0,1,2,20-15-14
0,14,20,0,2,2,22,0,0,12,20-15-14
0,14,27,0,1,3,13,0,0,13,27-20-15-14
1745593033,20,14,5,0,0,0,1,1,1,
1745593081,14,20,0,4,2,45,0,1,2,20-15-14
0,14,27,0,3,3,53,0,0,2,27-20-15-14
1745593033,27,14,5,0,0,0,2,1,1,
