Timestamp,Source,Address,TotalSent,TotalRecv,AvgLatency
1744820405,20,14,6,3,9
0,20,15,5,5,9
0,20,27,5,3,14
1744820419,14,15,3,9,5
0,14,20,3,9,4
0,14,27,3,3,7
1744820405,15,14,8,3,9
0,15,20,5,5,9
0,15,27,5,4,12
1744820405,27,14,3,3,10
0,27,15,4,5,8
0,27,20,3,5,9
1744820447,14,15,1,5,13
0,14,20,1,2,10
0,14,27,1,1,9
1744820425,20,14,5,0,0
1744820475,14,15,1,6,7
0,14,20,1,4,9
0,14,27,1,1,5
1744820445,20,14,2,1,3
0,20,15,0,1,15
1744820502,14,20,1,4,5
1744820425,27,15,5,0,0
1744820526,14,15,0,4,27
0,14,20,0,4,6
0,14,27,0,1,6
1744820465,20,14,1,1,9
1744820445,15,14,3,0,0
0,15,27,1,1,17
1744820561,14,15,1,8,7
0,14,20,1,3,14
1744820445,27,14,0,1,3
0,27,15,2,1,15
1744820485,20,14,4,0,0
0,20,27,0,1,5
1744820505,20,14,4,1,5
0,20,27,1,1,6
1744820598,14,15,1,6,7
0,14,20,1,9,4
0,14,27,1,1,15
1744820465,15,14,6,1,26
0,15,27,0,4,26
1744820465,27,14,1,1,9
0,27,15,4,0,0
1744820619,14,15,1,5,15
0,14,20,1,3,5
1744820525,20,14,3,0,0
0,20,15,0,1,40
1744820545,20,14,2,1,5
0,20,27,1,1,8
1744820658,14,15,1,6,11
0,14,20,1,8,5
0,14,27,1,1,14
1744820485,15,14,2,0,0
0,15,27,1,1,26
1744820485,27,15,3,0,0
0,27,20,0,1,5
1744820505,27,14,1,1,5
0,27,15,5,0,0
0,27,20,1,1,6
1744820697,14,15,1,12,7
0,14,20,1,4,9
0,14,27,1,1,13
1744820507,15,14,1,0,0
1744820575,20,14,4,0,0
0,20,15,0,1,4
