Timestamp,Source,Address,State,LinkType,RSSI,Parent,ParentRSSI
1744820405,20,14,1,2,-3,0,-128
0,20,15,1,0,-5,14,0
0,20,27,1,0,-8,15,0
1744820414,14,15,1,0,0,14,0
0,14,20,1,0,-4,14,-3
0,14,27,1,0,-3,15,0
1744820405,15,14,1,2,0,0,-128
0,15,20,1,0,-6,14,-3
0,15,27,1,0,0,15,0
1744820405,27,14,1,0,-3,0,-128
0,27,15,1,2,0,14,0
0,27,20,1,0,-8,14,-3
1744820425,15,14,1,2,0,0,-128
0,15,20,1,0,-6,14,-3
0,15,27,1,0,0,15,0
1744820461,14,15,1,0,0,14,0
0,14,20,1,0,-4,14,-3
0,14,27,1,0,-2,15,0
1744820425,20,14,1,2,-3,0,-128
0,20,15,1,0,-5,14,0
0,20,27,1,0,-8,15,0
1744820445,20,14,1,2,-3,0,-128
0,20,15,1,0,-5,14,0
0,20,27,1,0,-8,15,0
1744820493,14,15,1,0,0,14,0
0,14,20,1,0,-4,14,-3
0,14,27,1,0,-3,15,0
1744820425,27,14,1,0,-3,0,-128
0,27,15,1,2,0,14,0
0,27,20,1,0,-8,14,-3
1744820516,14,15,1,0,0,14,0
0,14,20,1,0,-4,14,-4
0,14,27,1,0,-3,15,0
1744820465,20,14,1,2,-4,0,-128
0,20,15,1,0,-5,14,0
0,20,27,1,0,-8,15,0
1744820445,15,14,1,2,0,0,-128
0,15,20,1,0,-6,14,-3
0,15,27,1,0,0,15,0
1744820550,14,15,1,0,0,14,0
0,14,20,1,1,-1,14,-4
0,14,27,1,0,-3,15,0
1744820445,27,14,1,0,-3,0,-128
0,27,15,1,2,0,14,0
0,27,20,1,0,-8,14,-3
1744820485,20,14,1,2,-4,0,-128
0,20,15,1,0,-5,14,0
0,20,27,1,0,-7,15,0
1744820572,14,15,1,0,0,14,0
0,14,20,1,0,-4,14,-4
0,14,27,1,0,-3,15,0
1744820505,20,14,1,2,-4,0,-128
0,20,15,1,0,-5,14,0
0,20,27,1,0,-7,15,0
1744820595,14,15,1,1,0,14,0
0,14,20,1,0,-4,14,-3
0,14,27,1,0,-3,15,0
1744820465,15,14,1,2,0,0,-128
0,15,20,1,0,-6,14,-3
0,15,27,1,0,0,15,0
1744820465,27,14,1,0,-3,0,-128
0,27,15,1,2,0,14,0
0,27,20,1,0,-8,14,-3
1744820525,20,14,1,2,-4,0,-128
0,20,15,1,0,-4,14,0
0,20,27,1,0,-7,15,0
1744820618,14,15,1,1,0,14,0
0,14,20,1,0,-4,14,-3
0,14,27,1,0,-3,15,0
1744820485,15,14,1,2,0,0,-128
0,15,20,1,0,-6,14,-3
0,15,27,1,0,0,15,0
1744820650,14,15,1,0,0,14,0
0,14,20,1,0,-4,14,-3
0,14,27,1,0,-3,15,0
1744820545,20,14,1,2,-3,0,-128
0,20,15,1,0,-4,14,0
0,20,27,1,0,-3,15,0
1744820485,27,14,1,0,-3,0,-128
0,27,15,1,2,0,14,0
0,27,20,1,0,-8,14,-3
1744820575,20,14,1,2,-3,0,-128
0,20,15,1,0,-5,14,0
0,20,27,1,0,-3,15,0
1744820687,14,15,1,0,0,14,0
0,14,20,1,0,-4,14,-3
0,14,27,1,0,-3,15,0
1744820505,15,14,1,2,0,0,-128
0,15,20,1,0,-6,14,-3
0,15,27,1,0,0,15,0
